2019-11-25 15:18:20.620 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 48.9085 ms
2019-11-25 15:18:28.040 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 15.0184 ms
2019-11-25 15:18:51.966 +02:00 [INF] Application starting up!
2019-11-25 15:18:54.075 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-25 15:18:54.317 +02:00 [INF] HTTP GET / responded 302 in 186.1007 ms
2019-11-25 15:18:54.837 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 494.6233 ms
2019-11-25 15:18:55.344 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 26.7734 ms
2019-11-25 15:18:55.546 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 6.3231 ms
2019-11-25 15:18:55.570 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 17.4116 ms
2019-11-25 15:18:58.833 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 474.7297 ms
2019-11-25 15:18:58.914 +02:00 [INF] HTTP GET /notification?id=S0zcms8tIZllzwF1Lsklmg responded 101 in 3541.1261 ms
2019-11-25 15:18:59.171 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5307 ms
2019-11-25 15:18:59.332 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 13.8035 ms
2019-11-25 15:18:59.349 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.9106 ms
2019-11-25 15:19:00.501 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 142.7739 ms
2019-11-25 15:19:02.575 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 54.5554 ms
2019-11-25 15:19:07.671 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 38.7455 ms
2019-11-25 15:19:07.689 +02:00 [INF] HTTP GET /notification?id=bfR3j4CtR6sK5JzmoRF8AA responded 101 in 8498.0907 ms
2019-11-25 15:19:08.105 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5653 ms
2019-11-25 15:19:08.232 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.4907 ms
2019-11-25 15:19:08.247 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.7444 ms
